        941.641         821.903         -31.103        -718.283           3.020 	 c, r, x, y and z 
       1200.219         827.898         -79.797        -695.018           3.075 	 c, r, x, y and z 
        971.068         807.495         -37.573        -731.796           3.041 	 c, r, x, y and z 
       1222.442         813.296         -86.096        -708.450           3.127 	 c, r, x, y and z 
       1090.039         746.476         -65.645        -791.673           3.277 	 c, r, x, y and z 
       1264.665         750.694        -102.196        -773.982           3.237 	 c, r, x, y and z 
       1115.514         734.056         -72.424        -805.173           3.216 	 c, r, x, y and z 
       1281.532         739.048        -109.055        -787.158           3.133 	 c, r, x, y and z 
       1656.461         802.073        -168.585        -691.070           3.442 	 c, r, x, y and z 
       1687.627         776.883        -179.525        -714.726           3.411 	 c, r, x, y and z 
       2402.642         446.670        -549.900       -1225.451           4.054 	 c, r, x, y and z 
       2188.835         861.471        -245.663        -611.496           3.227 	 c, r, x, y and z 
       2165.840         867.670        -240.297        -608.496           3.224 	 c, r, x, y and z 
       2145.044        1385.869        -146.390        -357.186           4.668 	 c, r, x, y and z 
       2057.253        1460.655        -127.319        -330.023           7.908 	 c, r, x, y and z 
       2002.855        1537.277        -116.593        -313.393           7.605 	 c, r, x, y and z 
       1899.651        1606.490        -102.767        -299.833           7.634 	 c, r, x, y and z 
       1786.850        1681.485         -88.950        -286.296           7.699 	 c, r, x, y and z 
       1663.049        1764.490         -75.122        -272.707           7.749 	 c, r, x, y and z 
