        936.665         820.310         -31.103        -718.283           3.020 	 c, r, x, y and z 
       1194.049         827.102         -79.797        -695.018           3.075 	 c, r, x, y and z 
        966.689         805.505         -37.573        -731.796           3.041 	 c, r, x, y and z 
       1217.864         811.505         -86.096        -708.450           3.127 	 c, r, x, y and z 
       1085.262         744.684         -65.645        -791.673           3.277 	 c, r, x, y and z 
       1262.078         748.505        -102.196        -773.982           3.237 	 c, r, x, y and z 
       1108.845         733.684         -72.424        -805.173           3.216 	 c, r, x, y and z 
       1285.262         737.310        -109.055        -787.158           3.133 	 c, r, x, y and z 
       1652.481         800.680        -168.585        -691.070           3.442 	 c, r, x, y and z 
       1684.044         776.684        -179.525        -714.726           3.411 	 c, r, x, y and z 
       2398.968         444.543        -549.900       -1225.451           4.054 	 c, r, x, y and z 
       2184.855         860.078        -245.663        -611.496           3.227 	 c, r, x, y and z 
       2161.063         865.680        -240.297        -608.496           3.224 	 c, r, x, y and z 
       2140.803        1384.030        -146.390        -357.186           4.668 	 c, r, x, y and z 
       2052.612        1458.464        -127.319        -330.023           7.908 	 c, r, x, y and z 
       1996.884        1535.883        -116.593        -313.393           7.605 	 c, r, x, y and z 
       1893.879        1605.296        -102.767        -299.833           7.634 	 c, r, x, y and z 
       1781.277        1680.092         -88.950        -286.296           7.699 	 c, r, x, y and z 
       1657.675        1762.898         -75.122        -272.707           7.749 	 c, r, x, y and z 
