        941.643         820.253         -31.103        -718.283           3.020 	 c, r, x, y and z 
       1198.500         827.461         -79.797        -695.018           3.075 	 c, r, x, y and z 
        969.890         806.331         -37.573        -731.796           3.041 	 c, r, x, y and z 
       1219.786         812.071         -86.096        -708.450           3.127 	 c, r, x, y and z 
       1089.903         745.617         -65.645        -791.673           3.277 	 c, r, x, y and z 
       1264.968         749.201        -102.196        -773.982           3.237 	 c, r, x, y and z 
       1114.058         733.708         -72.424        -805.173           3.216 	 c, r, x, y and z 
       1289.643         738.032        -109.055        -787.158           3.133 	 c, r, x, y and z 
       1656.877         801.266        -168.585        -691.070           3.442 	 c, r, x, y and z 
       2403.890         445.266        -549.900       -1225.451           4.054 	 c, r, x, y and z 
       2189.071         859.487        -245.663        -611.496           3.227 	 c, r, x, y and z 
       2165.773         866.136        -240.297        -608.496           3.224 	 c, r, x, y and z 
       2146.292        1385.175        -146.390        -357.186           4.668 	 c, r, x, y and z 
       2056.916        1460.162        -127.319        -330.023           7.908 	 c, r, x, y and z 
       2002.786        1536.227        -116.593        -313.393           7.605 	 c, r, x, y and z 
       1899.825        1605.500        -102.767        -299.833           7.634 	 c, r, x, y and z 
       1787.214        1681.318         -88.950        -286.296           7.699 	 c, r, x, y and z 
       1663.474        1763.240         -75.122        -272.707           7.749 	 c, r, x, y and z 
