        941.643         820.253      432875.213     4581377.508           3.020 	 c, r, x, y and z
       1198.500         827.461      432826.519     4581400.773           3.075 	 c, r, x, y and z
        969.890         806.331      432868.743     4581363.995           3.041 	 c, r, x, y and z
       1219.786         812.071      432820.220     4581387.341           3.127 	 c, r, x, y and z
       1089.903         745.617      432840.671     4581304.118           3.277 	 c, r, x, y and z
       1264.968         749.201      432804.120     4581321.809           3.237 	 c, r, x, y and z
       1114.058         733.708      432833.892     4581290.618           3.216 	 c, r, x, y and z
       1289.643         738.032      432797.261     4581308.633           3.133 	 c, r, x, y and z
       1656.877         801.266      432737.731     4581404.721           3.442 	 c, r, x, y and z
       2403.890         445.266      432356.416     4580870.340           4.054 	 c, r, x, y and z
       2189.071         859.487      432660.653     4581484.295           3.227 	 c, r, x, y and z
       2165.773         866.136      432666.019     4581487.295           3.224 	 c, r, x, y and z
       2146.292        1385.175      432759.926     4581738.605           4.668 	 c, r, x, y and z
       2056.916        1460.162      432778.997     4581765.768           7.908 	 c, r, x, y and z
       2002.786        1536.227      432789.723     4581782.398           7.605 	 c, r, x, y and z
       1899.825        1605.500      432803.549     4581795.958           7.634 	 c, r, x, y and z
       1787.214        1681.318      432817.366     4581809.495           7.699 	 c, r, x, y and z
       1663.474        1763.240      432831.194     4581823.084           7.749 	 c, r, x, y and z
