        940.845         822.102      432875.213     4581377.508           3.020 	 c, r, x, y and z
       1198.627         828.495      432826.519     4581400.773           3.075 	 c, r, x, y and z
        969.277         808.092      432868.743     4581363.995           3.041 	 c, r, x, y and z
       1220.850         813.495      432820.220     4581387.341           3.127 	 c, r, x, y and z
       1089.641         746.476      432840.671     4581304.118           3.277 	 c, r, x, y and z
       1265.063         750.893      432804.120     4581321.809           3.237 	 c, r, x, y and z
       1114.418         734.879      432833.892     4581290.618           3.216 	 c, r, x, y and z
       1293.423         739.301      432797.261     4581308.633           3.133 	 c, r, x, y and z
       1656.461         801.675      432737.731     4581404.721           3.442 	 c, r, x, y and z
       1684.442         776.883      432726.791     4581381.065           3.411 	 c, r, x, y and z
       2403.438         445.874      432356.416     4580870.340           4.054 	 c, r, x, y and z
       2165.840         866.476      432666.019     4581487.295           3.224 	 c, r, x, y and z
       2146.039        1387.262      432759.926     4581738.605           4.668 	 c, r, x, y and z
       2057.253        1459.859      432778.997     4581765.768           7.908 	 c, r, x, y and z
       2002.457        1537.078      432789.723     4581782.398           7.605 	 c, r, x, y and z
       1898.258        1606.092      432803.549     4581795.958           7.634 	 c, r, x, y and z
       1786.253        1681.286      432817.366     4581809.495           7.699 	 c, r, x, y and z
       1662.651        1763.694      432831.194     4581823.084           7.749 	 c, r, x, y and z
