        936.665         820.310      432875.213     4581377.508           3.020 	 c, r, x, y and z
       1194.049         827.102      432826.519     4581400.773           3.075 	 c, r, x, y and z
        966.689         805.505      432868.743     4581363.995           3.041 	 c, r, x, y and z
       1217.864         811.505      432820.220     4581387.341           3.127 	 c, r, x, y and z
       1085.262         744.684      432840.671     4581304.118           3.277 	 c, r, x, y and z
       1262.078         748.505      432804.120     4581321.809           3.237 	 c, r, x, y and z
       1108.845         733.684      432833.892     4581290.618           3.216 	 c, r, x, y and z
       1285.262         737.310      432797.261     4581308.633           3.133 	 c, r, x, y and z
       1652.481         800.680      432737.731     4581404.721           3.442 	 c, r, x, y and z
       1684.044         776.684      432726.791     4581381.065           3.411 	 c, r, x, y and z
       2398.968         444.543      432356.416     4580870.340           4.054 	 c, r, x, y and z
       2184.855         860.078      432660.653     4581484.295           3.227 	 c, r, x, y and z
       2161.063         865.680      432666.019     4581487.295           3.224 	 c, r, x, y and z
       2140.803        1384.030      432759.926     4581738.605           4.668 	 c, r, x, y and z
       2052.612        1458.464      432778.997     4581765.768           7.908 	 c, r, x, y and z
       1996.884        1535.883      432789.723     4581782.398           7.605 	 c, r, x, y and z
       1893.879        1605.296      432803.549     4581795.958           7.634 	 c, r, x, y and z
       1781.277        1680.092      432817.366     4581809.495           7.699 	 c, r, x, y and z
       1657.675        1762.898      432831.194     4581823.084           7.749 	 c, r, x, y and z
